setting,setting_type,rep,n,p,s,rho,language,method,model_class,ibs,cindex_td,runtime_sec,status,error_message
setting1_highdim_s50_n1000,highdim,33,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.172194212500486,0.6459135938359934,0.984355926513672,success,
setting1_highdim_s50_n1000,highdim,33,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1954388495051682,0.5767749036873968,4.305374622344971,success,
setting1_highdim_s50_n1000,highdim,33,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1920488310998723,0.5951430930104568,28.59817337989807,success,
setting1_highdim_s50_n1000,highdim,34,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1733551628216486,0.6903553299492385,0.9354100227355956,success,
setting1_highdim_s50_n1000,highdim,34,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1988780095715628,0.6183004812446437,4.340216398239136,success,
setting1_highdim_s50_n1000,highdim,34,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2027749389599904,0.6185641769398115,28.628249883651733,success,
setting1_highdim_s50_n1000,highdim,35,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.162691308999557,0.67132972322503,1.2314844131469729,success,
setting1_highdim_s50_n1000,highdim,35,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1887871593473148,0.5519705174488568,4.317146301269531,success,
setting1_highdim_s50_n1000,highdim,35,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1829199577790042,0.5969464500601684,28.746368885040283,success,
setting1_highdim_s50_n1000,highdim,36,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1664505504042523,0.6727350917431193,1.1241750717163086,success,
setting1_highdim_s50_n1000,highdim,36,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.195858469745466,0.5265911697247706,4.659534215927124,success,
setting1_highdim_s50_n1000,highdim,36,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.204101615078911,0.5753297018348624,28.594475030899048,success,
setting1_highdim_s50_n1000,highdim,37,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1631797172607897,0.7131612537228762,1.6567950248718262,success,
setting1_highdim_s50_n1000,highdim,37,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2003626634207647,0.5718337824422067,4.345209360122681,success,
setting1_highdim_s50_n1000,highdim,37,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2064447400622559,0.627854205077294,29.011058568954468,success,
setting1_highdim_s50_n1000,highdim,38,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1702838250085721,0.6786102062975027,1.0093307495117188,success,
setting1_highdim_s50_n1000,highdim,38,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1971460413966016,0.6009093376764386,4.207390308380127,success,
setting1_highdim_s50_n1000,highdim,38,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1865299056687194,0.6140743756786102,28.798763036727905,success,
setting1_highdim_s50_n1000,highdim,39,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1746391872503317,0.6853849762112176,1.2562317848205566,success,
setting1_highdim_s50_n1000,highdim,39,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2055299685171771,0.5638946592508208,4.26352858543396,success,
setting1_highdim_s50_n1000,highdim,39,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2131202730465491,0.60919386182403,29.15339016914368,success,
setting1_highdim_s50_n1000,highdim,40,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1947193969384077,0.6395509977827051,0.958367109298706,success,
setting1_highdim_s50_n1000,highdim,40,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2087989778200398,0.575110864745011,4.33556604385376,success,
setting1_highdim_s50_n1000,highdim,40,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2307632308602164,0.5889689578713969,28.65361785888672,success,
setting1_highdim_s50_n1000,highdim,41,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1818457161475004,0.6885026737967914,1.1188104152679443,success,
setting1_highdim_s50_n1000,highdim,41,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2008257229524457,0.6131907308377896,4.270631551742554,success,
setting1_highdim_s50_n1000,highdim,41,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2200289201226557,0.5814765300059418,29.063173294067383,success,
setting1_highdim_s50_n1000,highdim,42,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.2106767745729956,0.6117102120576102,1.013594150543213,success,
setting1_highdim_s50_n1000,highdim,42,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2172381130190079,0.482449156835782,4.314213037490845,success,
setting1_highdim_s50_n1000,highdim,42,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2622501729470229,0.5036549178548165,28.66429829597473,success,
setting1_highdim_s50_n1000,highdim,43,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1838599232688538,0.6566936768474271,0.8675017356872559,success,
setting1_highdim_s50_n1000,highdim,43,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2079084836442135,0.5353556340466792,4.225021600723267,success,
setting1_highdim_s50_n1000,highdim,43,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2165750790281082,0.6231040930812383,28.69429087638855,success,
setting1_highdim_s50_n1000,highdim,44,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.170270671625889,0.6713615023474179,1.1537277698516846,success,
setting1_highdim_s50_n1000,highdim,44,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2054942784596552,0.5766599597585513,4.338935136795044,success,
setting1_highdim_s50_n1000,highdim,44,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2037349387802864,0.6035546613011402,28.64564538002014,success,
setting1_highdim_s50_n1000,highdim,45,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1618715719666511,0.6863866763215062,1.2012436389923096,success,
setting1_highdim_s50_n1000,highdim,45,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1941260256401411,0.6328023171614772,4.307151317596436,success,
setting1_highdim_s50_n1000,highdim,45,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.1997515918931115,0.633816075307748,29.087973833084103,success,
setting1_highdim_s50_n1000,highdim,46,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.178067938837362,0.6598349381017882,1.2650139331817627,success,
setting1_highdim_s50_n1000,highdim,46,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2095515376370694,0.5205639614855571,4.374654293060303,success,
setting1_highdim_s50_n1000,highdim,46,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2050766185610425,0.6055020632737277,28.695889711380005,success,
setting1_highdim_s50_n1000,highdim,47,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1748717979532693,0.6754510583889757,1.0811889171600342,success,
setting1_highdim_s50_n1000,highdim,47,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.1978290497448717,0.5801250177582042,4.468862771987915,success,
setting1_highdim_s50_n1000,highdim,47,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2109835004120337,0.584386986787896,29.12906217575073,success,
setting1_highdim_s50_n1000,highdim,48,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1792502331818607,0.6716270494501877,1.5508592128753662,success,
setting1_highdim_s50_n1000,highdim,48,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2039367540866482,0.5596233620859946,4.406973838806152,success,
setting1_highdim_s50_n1000,highdim,48,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2164765607409255,0.5687100809903207,29.01307463645935,success,
setting1_highdim_s50_n1000,highdim,49,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1774202409567119,0.6767902614744425,1.2558109760284424,success,
setting1_highdim_s50_n1000,highdim,49,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2108243081694012,0.5184771132227812,4.436245441436768,success,
setting1_highdim_s50_n1000,highdim,49,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2031735344811607,0.6226942425936277,28.879261016845703,success,
setting1_highdim_s50_n1000,highdim,50,1000,500,50.0,0.3,Python,sksurv_CoxnetSurvivalAnalysis,Penalized Cox,0.1864140279866413,0.6910424380518371,1.1602003574371338,success,
setting1_highdim_s50_n1000,highdim,50,1000,500,50.0,0.3,Python,sksurv_RandomSurvivalForest,RSF,0.2082040663036355,0.5661492452292795,4.165936708450317,success,
setting1_highdim_s50_n1000,highdim,50,1000,500,50.0,0.3,Python,sksurv_GradientBoostingSurvivalAnalysis,Boosting,0.2379546561637039,0.5639418968954714,29.13374328613281,success,
